line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   29 | POS_X POS_Y : (46,0)
line->pos :   28 | POS_X POS_Y : (45,0)
line->pos :   27 | POS_X POS_Y : (44,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   27 | POS_X POS_Y : (44,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   32 | POS_X POS_Y : (49,0)
line->pos :   31 | POS_X POS_Y : (48,0)
line->pos :   30 | POS_X POS_Y : (47,0)
line->pos :   29 | POS_X POS_Y : (46,0)
line->pos :   28 | POS_X POS_Y : (45,0)
line->pos :   27 | POS_X POS_Y : (44,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   29 | POS_X POS_Y : (46,0)
line->pos :   28 | POS_X POS_Y : (45,0)
line->pos :   27 | POS_X POS_Y : (44,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   35 | POS_X POS_Y : (52,0)
line->pos :   34 | POS_X POS_Y : (51,0)
line->pos :   33 | POS_X POS_Y : (50,0)
line->pos :   32 | POS_X POS_Y : (49,0)
line->pos :   31 | POS_X POS_Y : (48,0)
line->pos :   30 | POS_X POS_Y : (47,0)
line->pos :   29 | POS_X POS_Y : (46,0)
line->pos :   28 | POS_X POS_Y : (45,0)
line->pos :   27 | POS_X POS_Y : (44,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   28 | POS_X POS_Y : (45,0)
line->pos :   27 | POS_X POS_Y : (44,0)
line->pos :   26 | POS_X POS_Y : (43,0)
line->pos :   25 | POS_X POS_Y : (42,0)
line->pos :   24 | POS_X POS_Y : (41,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :   23 | POS_X POS_Y : (40,0)
line->pos :   22 | POS_X POS_Y : (39,0)
line->pos :   21 | POS_X POS_Y : (38,0)
line->pos :   20 | POS_X POS_Y : (37,0)
line->pos :   19 | POS_X POS_Y : (36,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
